#NAME,I21631-L1,I21632-L1,I21634-L1,I21635-L1,I21636-L1,I21637-L1,I21639-L1,I21641-L1,I21643-L1,I21645-L1,I21646-L1,I21647-L1,I21648-L1,I21649-L1,I21650-L1,I21651-L1,I21652-L1,I21653-L1,I21654-L1,I21655-L1,I21656-L1,I21657-L1,I21658-L1,I21659-L1,I21660-L1,I21661-L1,I21662-L1,I21663-L1,I21664-L1,I21665-L1,I21666-L1,I21667-L1,I21668-L1,I21669-L1,I21670-L1,I21671-L1,I21673-L1,I21674-L1,I21675-L1,I21676-L1,I21677-L1,I21678-L1,I21679-L1,I21680-L1,I21681-L1,I21682-L1,I21683-L1,I21684-L1,I21685-L1,I21686-L1,I21687-L1,I21688-L1,I21689-L1,I21690-L1,I21691-L1,I21692-L1,I21693-L1,I21694-L1,I21695-L1,I21696-L1,I21697-L1,I21698-L1,I21700-L1,I21701-L1,I21702-L1,I21703-L1,I21704-L1,I21705-L1,I21706-L1,I21707-L1,I21708-L1,I21709-L1,I21710-L1,I21711-L1,I21712-L1,I21713-L1,I21714-L1,I21740-L1,I21741-L1
ASV_1,0,31113,1271,46,32,138,12,1068,190,10041,12618,244,835,128,10139,2546,81,2361,224,15234,9044,307,21988,17845,6076,7929,14397,9916,38395,5177,18655,10365,7317,1172,5329,21788,0,0,21029,45,118,30,8663,36,63,328,1267,5,0,22425,12078,12833,10655,16468,18047,12547,2413,16528,12556,14011,7379,8681,35996,156,19686,86,116,30,23132,8728,159,2629,754,1672,48,32612,30,6131,13331
ASV_2,132,18095,1646,336,52,335,0,1431,1185,7021,7256,399,452,334,6224,1740,48,2031,189,6636,6008,319,11790,13074,6854,10639,18911,8480,20319,4487,11573,7882,11480,1249,3911,18468,0,194,12312,74,355,30,8991,61,0,162,801,0,0,14464,7419,8274,10293,8834,11327,9741,3959,10345,5930,9657,4249,4791,16062,176,12135,28,75,24,11797,7674,141,1427,471,1294,68,15883,131,6901,21080
ASV_3,763,609,166,274,209,1224,66341,31392,4039,15,97,13,22,72,3691,39,3256,17438,24383,1374,15565,1028,69,30,72,26,11,846,480,131,49,4926,5641,3482,243,100,0,64,40,97,0,0,630,63,23189,489,32499,37,43,1408,28,2173,13,50,53,77,47,0,141,71,23240,39,25,134,367,136,1515,27,423,4367,3475,17196,29694,5392,33311,1971,306,721,1244
ASV_4,917,689,171,247,239,1156,56055,30762,3603,24,113,0,32,137,3639,45,3530,17220,22970,968,12307,91,89,26,65,27,14,650,335,138,25,4523,5105,3473,320,67,27,66,63,200,7,0,531,63,20692,453,29527,10,17,1571,34,218,16,76,44,102,54,15,81,107,23367,54,12,253,370,167,1577,40,495,4527,3212,17413,27435,5394,33413,1216,278,677,962
ASV_5,0,7193,1363,51,12,333,6,996,1382,3146,2096,225,268,307,1568,944,64,1017,150,453,2989,251,4147,5622,5967,7361,12618,6700,5367,3233,4232,3669,9687,783,1182,11263,0,0,5852,76,0,0,7121,45,316,0,314,0,0,6937,2948,3431,6307,2674,4445,3695,3429,4752,684,4444,1214,1444,917,39,4641,32,45,80,2471,5028,136,424,159,539,0,3991,58,4036,14245
ASV_6,3333,1340,1122,1428,1201,1345,60,1833,2927,735,1106,973,91,795,1283,2043,1230,331,1847,1653,617,2199,1229,1589,2431,2519,761,3725,12075,1771,1457,5776,3332,163,6989,180,12,634,216,1253,121,44,598,404,101,477,77,365,61,994,1156,4970,1051,2744,1088,4488,1268,812,963,1593,104,66,1189,1107,736,110,337,125,670,828,365,342,7,597,170,1716,444,1599,4783
ASV_7,0,7,200,0,0,0,0,78,138,32,422,0,12,172,589,92,0,33,88,2089,2613,0,9780,1475,926,3242,2335,533,4103,579,7627,7366,414,35,0,7292,0,0,2022,0,0,0,3882,0,0,0,241,0,0,5235,1470,1216,1276,6109,309,4936,1401,863,1485,4598,1228,2660,3289,13,2095,0,0,0,4876,1940,0,50,15,76,0,10050,0,266,473
ASV_8,0,29,109,0,0,0,0,59,0,5708,2054,0,601,9,877,780,0,46,0,112,776,0,15148,3387,2290,1880,1992,290,4884,232,524,2689,306,28,0,3246,0,0,5602,0,0,0,2259,0,0,0,20,0,0,4543,771,556,3847,5295,1389,3262,316,2739,480,12241,367,6,5102,36,913,0,0,0,430,1433,0,358,0,5643,0,1757,0,268,1428
ASV_9,0,0,567,0,0,332,0,804,12,254,85,0,96,6,12451,204,0,130,61,1839,60,0,2391,3175,324,2734,4487,59,1378,3102,4192,1319,4835,0,25,4232,0,0,7412,0,0,0,1547,0,0,0,224,0,0,3284,3154,3616,3707,5367,2346,3768,178,1625,3003,2033,808,261,348,14,722,0,0,0,1830,384,0,0,9,196,0,994,0,2340,1537
ASV_10,222,106,55,122,46,458,0,81,37,439,28,32,0,0,212,89,7082,92,3017,4858,39788,35,146,75,350,0,0,2501,104,772,83,52,119,26,133,20,0,0,0,0,0,0,88,200,27,261,396,394,0,389,123,71,0,161,628,1214,689,309,0,43,37,738,85,69,0,0,62,40,68,40,847,1602,0,116,44,77,4645,1792,2291
ASV_11,0,3002,646,0,0,120,0,521,0,1364,793,55,58,175,460,322,0,550,0,192,1280,104,1699,2139,1919,2901,5284,2193,2573,1090,1612,1327,4220,362,500,4957,0,0,2521,0,0,0,2825,0,0,34,213,0,0,3173,943,1526,1972,981,1706,1579,1320,1768,159,1900,363,531,373,0,1954,0,0,0,850,1745,0,0,73,221,0,1497,0,1307,4956
ASV_12,0,79,1125,0,0,155,0,0,1139,7305,2380,2590,663,24,142,456,0,0,12,56,193,58,3278,8473,3987,1233,330,12969,2124,8435,594,465,5407,625,134,361,0,13,36,10,0,0,360,50,7506,0,0,0,0,54,615,53,336,780,36,414,13,3152,814,32,111,72,0,19,269,37,177,14,315,33,19,123,0,34,21,284,30,109,52
ASV_13,328,65,0,70,0,313,0,60,0,278,0,0,0,0,138,73,6874,45,3070,4144,36245,0,163,50,406,0,0,2303,106,715,92,44,106,29,80,21,0,0,27,92,0,0,65,189,0,182,299,208,0,432,147,58,37,168,393,1167,957,252,53,82,20,713,43,0,0,0,0,39,57,27,862,1240,0,55,0,118,4001,1699,2040
ASV_14,0,0,106,0,0,16,0,91,57,25,366,0,0,192,357,117,0,25,93,1451,1964,0,5083,955,488,1908,1522,334,2534,367,4679,4343,234,18,0,4288,0,0,1294,0,0,0,2611,0,0,10,117,0,0,2938,990,756,693,3400,299,3474,948,557,727,2892,805,1932,1799,0,1438,0,0,0,2721,1019,0,12,0,37,0,5726,0,195,334
ASV_15,0,0,69,0,0,0,0,32,10,3083,1162,0,514,0,672,424,0,52,6,52,314,0,10743,1943,1088,973,990,271,2205,135,340,2242,162,23,0,1676,0,0,3876,0,0,0,1454,0,0,0,0,0,0,2264,430,341,3023,3643,890,1148,174,1634,160,8258,242,0,2832,45,341,0,0,0,257,1078,0,301,0,4370,0,1108,0,205,930
